City,latitude,longitude,Country
Tunis,36.811,10.17,Tunisia
Dakar,14.753,-17.475,Senegal
Rabat,34.021,-6.82,Morocco
Cape Town,-34.026,18.465,South Africa
Antananarivo,-18.915,47.534,Madagascar
